Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1408,924,140.0,4329.408254770615,128.43812900064222,48450.5980619997,141.875,9.306968605904592,6.107698147624888,140,330,3400,5000,17000,30000,36000,38000,43000,48000,48000
GET,/lista-emails,1438,957,140.0,4684.791366273307,129.12516399956075,48771.26298999974,172.60639777468705,9.505270493814491,6.3258302243257765,140,350,4400,6000,19000,31000,38000,40000,48000,49000,49000
GET,/stress?duration=5,1445,993,140.0,5749.877652100365,128.63080599890964,51525.39504999913,144.95709342560554,9.5515409343268,6.563792489817655,140,210,7800,9800,22000,35000,41000,44000,50000,52000,52000
,Aggregated,4291,2874,140.0,4926.849222722692,128.43812900064222,51525.39504999913,153.2116056863202,28.36378003404588,18.99732086176832,140,250,5000,7300,19000,31000,39000,41000,48000,52000,52000
